"Test Case", "#events in the trace", "#contraints", "#data race candidates", "#data race candidate locations", "#actual data races", "#actual data race locations", "time to check candidates", "#removed events (RW + Others) (Redundant RW %)", "#contraints(R)", "#data race candidates (R)", "#data race candidate locations(R)", "#actual data races(R)", "#actual data race locations(R)", "time to check candidates(R)"
"h5780.log","15","12","3","3","1","1","0.018 seconds","(0 + 0) (00.00%)","12","3","3","1","1","0.007 seconds"
"m3274.log","18","13","0","0","0","0","0.0 seconds","(0 + 0) (00.00%)","13","0","0","0","0","0.0 seconds"
"m4157.log","12","11","4","4","2","2","0.007 seconds","(0 + 0) (00.00%)","11","4","4","2","2","0.006 seconds"
"m5009.log","19","13","0","0","0","0","0.0 seconds","(0 + 0) (00.00%)","13","0","0","0","0","0.0 seconds"
"m5358-bug.log","27","17","0","0","0","0","0.0 seconds","(0 + 0) (00.00%)","17","0","0","0","0","0.0 seconds"
"m5358.log","30","20","0","0","0","0","0.0 seconds","(1 + 2) (20.00%)","18","0","0","0","0","0.0 seconds"
"Cyclon_100N_100R.txt","","","","","","","","( + ) ()","","","","","",""
"Cyclon_100N_10R.txt","16401","29298","23000","3","9651","1","3783.076 seconds","(1675 + 2044) (40.85%)","11893","6615","3","3134","1","1345.659 seconds"
"Cyclon_100N_5R.txt","8401","9800","6500","3","2394","1","173.313 seconds","(916 + 1064) (43.62%)","4437","1668","3","753","1","30.319 seconds"
"Cyclon_10N_100R.txt","","","","","","","","(3710 + 3756) (92.52%)","5180","1028","3","509","1","284.767 seconds"
"Cyclon_10N_10R.txt","1640","2920","2300","3","969","1","7.773 seconds","(240 + 280) (58.54%)","838","348","3","149","1","0.877 seconds"
"Cyclon_10N_5R.txt","840","976","650","3","243","1","0.863 seconds","(91 + 116) (43.33%)","446","173","3","78","1","0.208 seconds"
"Cyclon_5N_100R.txt","8020","104505","101500","3","49835","1","6220.334 seconds","(1931 + 1944) (96.31%)","2179","135","3","65","1","8.032 seconds"
"Cyclon_5N_10R.txt","820","1464","1150","3","481","1","1.796 seconds","(144 + 152) (70.24%)","339","99","3","45","1","0.134 seconds"
"Cyclon_5N_5R.txt","420","488","325","3","121","1","0.209 seconds","(58 + 64) (55.24%)","196","62","3","27","1","0.049 seconds"
