Test Case, #events in the trace, #contraints, #msg-msg race candidates, #actual msg-msg race candidates, #Data races from msg races, time to check candidates, #removed events (RW + Others) (Redundant RW %), #contraints(R), #msg-msg race candidates(R), #actual msg-msg race candidates(R), #Data races from msg races, time to check candidates(R)
h5780.log,"15","9","0","0","0","0.0 seconds","(0 + 0) (00.00%)","9","0","0","0","0.0 seconds"
m3274.log,"18","14","1","1","1","0.017 seconds","(0 + 0) (00.00%)","14","1","1","1","0.006 seconds"
m4157.log,"12","7","0","0","0","0.0 seconds","(0 + 0) (00.00%)","7","0","0","0","0.0 seconds"
m5009.log,"19","14","1","1","2","0.005 seconds","(0 + 0) (00.00%)","14","1","1","2","0.006 seconds"
m5358-bug.log,"27","19","2","2","2","0.006 seconds","(0 + 0) (00.00%)","19","2","2","2","0.005 seconds"
m5358.log,"30","24","4","1","2","0.007 seconds","(1 + 2) (20.00%)","22","4","1","2","0.006 seconds"
Cyclon_100N_100R.txt,"","","","","0","","( + ) ()","","","","0",""
Cyclon_100N_10R.txt,"16401","28052","21752","18665","2","4418.618 seconds","(1675 + 2044) (40.85%)","27028","21752","18664","2","2422.19 seconds"
Cyclon_100N_5R.txt,"8401","9115","5815","5700","2","264.67 seconds","(916 + 1064) (43.62%)","8582","5815","5700","2","148.292 seconds"
Cyclon_10N_100R.txt,"","","","","0","","( + ) ()","","","","0",""
Cyclon_10N_10R.txt,"1640","2898","2274","1701","2","9.675 seconds","(240 + 280) (58.54%)","2757","2274","1701","2","6.334 seconds"
Cyclon_10N_5R.txt,"840","860","531","459","2","1.041 seconds","(91 + 116) (43.33%)","803","531","459","2","0.737 seconds"
Cyclon_5N_100R.txt,"8020","103363","100360","52381","2","4916.414 seconds","(1931 + 1944) (96.31%)","102355","100360","52381","2","1889.258 seconds"
Cyclon_5N_10R.txt,"820","1316","1003","665","2","1.763 seconds","(144 + 152) (70.24%)","1233","1003","665","2","1.092 seconds"
Cyclon_5N_5R.txt,"420","401","238","184","2","0.215 seconds","(58 + 64) (55.24%)","371","238","184","2","0.141 seconds"
